freq,S11,patch_length,substrate_height
1.5,-0.594050975,8,0.8
1.508999944,-0.593888974,8,0.8
1.518000007,-0.593785591,8,0.8
1.52699995,-0.593411551,8,0.8
1.536000013,-0.592467235,8,0.8
1.544999957,-0.590692479,8,0.8
1.55400002,-0.587883788,8,0.8
1.562999964,-0.583902645,8,0.8
1.572000027,-0.578684172,8,0.8
1.58099997,-0.572239412,8,0.8
1.590000033,-0.564652572,8,0.8
1.598999977,-0.556074367,8,0.8
1.60800004,-0.546712305,8,0.8
1.616999984,-0.536818086,8,0.8
1.626000047,-0.526670934,8,0.8
1.63499999,-0.516560501,8,0.8
1.644000053,-0.50677261,8,0.8
1.652999997,-0.497570813,8,0.8
1.661999941,-0.489180655,8,0.8
1.671000004,-0.481785533,8,0.8
1.679999948,-0.47550905,8,0.8
1.68900001,-0.470416338,8,0.8
1.697999954,-0.466508076,8,0.8
1.707000017,-0.463723027,8,0.8
1.715999961,-0.461945115,8,0.8
1.725000024,-0.461006109,8,0.8
1.733999968,-0.460701397,8,0.8
1.743000031,-0.460793734,8,0.8
1.751999974,-0.461037528,8,0.8
1.761000037,-0.461181253,8,0.8
1.769999981,-0.46098742,8,0.8
1.779000044,-0.460246454,8,0.8
1.787999988,-0.458785617,8,0.8
1.797000051,-0.456476942,8,0.8
1.805999994,-0.453246519,8,0.8
1.815000057,-0.449076432,8,0.8
1.824000001,-0.444007913,8,0.8
1.832999945,-0.438131853,8,0.8
1.842000008,-0.431587913,8,0.8
1.850999951,-0.424552335,8,0.8
1.860000014,-0.417231534,8,0.8
1.868999958,-0.409843137,8,0.8
1.878000021,-0.40260751,8,0.8
1.886999965,-0.395734473,8,0.8
1.896000028,-0.389412504,8,0.8
1.904999971,-0.383798625,8,0.8
1.914000034,-0.379007901,8,0.8
1.922999978,-0.37511133,8,0.8
1.932000041,-0.372131759,8,0.8
1.940999985,-0.370043188,8,0.8
1.950000048,-0.368774215,8,0.8
1.958999991,-0.368211205,8,0.8
1.968000054,-0.368206085,8,0.8
1.976999998,-0.368583844,8,0.8
1.985999942,-0.369155348,8,0.8
1.995000005,-0.369724744,8,0.8
2.003999949,-0.370099966,8,0.8
2.013000011,-0.370107211,8,0.8
2.022000074,-0.369595224,8,0.8
2.030999899,-0.368448985,8,0.8
2.039999962,-0.36659229,8,0.8
2.049000025,-0.363990397,8,0.8
2.058000088,-0.360656534,8,0.8
2.066999912,-0.356645299,8,0.8
2.075999975,-0.352050774,8,0.8
2.085000038,-0.347000387,8,0.8
2.094000101,-0.341648758,8,0.8
2.102999926,-0.336165107,8,0.8
2.111999989,-0.330726295,8,0.8
2.121000051,-0.325504203,8,0.8
2.130000114,-0.320657555,8,0.8
2.138999939,-0.316324193,8,0.8
2.148000002,-0.31261243,8,0.8
2.157000065,-0.309595385,8,0.8
2.165999889,-0.307309931,8,0.8
2.174999952,-0.30575322,8,0.8
2.184000015,-0.304881692,8,0.8
2.193000078,-0.304620796,8,0.8
2.201999903,-0.304860341,8,0.8
2.210999966,-0.305468512,8,0.8
2.220000029,-0.306297232,8,0.8
2.229000092,-0.307186016,8,0.8
2.237999916,-0.307978778,8,0.8
2.246999979,-0.308523421,8,0.8
2.256000042,-0.308691015,8,0.8
2.265000105,-0.308372801,8,0.8
2.273999929,-0.307489606,8,0.8
2.282999992,-0.306001984,8,0.8
2.292000055,-0.303900205,8,0.8
2.301000118,-0.301215943,8,0.8
2.309999943,-0.29801153,8,0.8
2.319000006,-0.294382545,8,0.8
2.328000069,-0.290448274,8,0.8
2.336999893,-0.286340104,8,0.8
2.345999956,-0.282206053,8,0.8
2.355000019,-0.278190543,8,0.8
2.364000082,-0.274431142,8,0.8
2.372999907,-0.271052405,8,0.8
2.381999969,-0.268154842,8,0.8
2.391000032,-0.265815325,8,0.8
2.400000095,-0.264076863,8,0.8
2.40899992,-0.262951573,8,0.8
2.417999983,-0.26241824,8,0.8
2.427000046,-0.262425507,8,0.8
2.436000109,-0.262891968,8,0.8
2.444999933,-0.263716545,8,0.8
2.453999996,-0.264775756,8,0.8
2.463000059,-0.265938371,8,0.8
2.471999884,-0.267070351,8,0.8
2.480999947,-0.26803903,8,0.8
2.49000001,-0.268724055,8,0.8
2.499000072,-0.269026931,8,0.8
2.507999897,-0.268867536,8,0.8
2.51699996,-0.268196873,8,0.8
2.526000023,-0.266997108,8,0.8
2.535000086,-0.265278354,8,0.8
2.54399991,-0.263085621,8,0.8
2.552999973,-0.260489294,8,0.8
2.562000036,-0.257582276,8,0.8
2.571000099,-0.25447674,8,0.8
2.579999924,-0.251295446,8,0.8
2.588999987,-0.248166532,8,0.8
2.59800005,-0.245213224,8,0.8
2.607000113,-0.242550851,8,0.8
2.615999937,-0.240276892,8,0.8
2.625,-0.238467879,8,0.8
2.634000063,-0.237173795,8,0.8
2.642999887,-0.236419668,8,0.8
2.65199995,-0.236200228,8,0.8
2.661000013,-0.236478465,8,0.8
2.670000076,-0.237196626,8,0.8
2.678999901,-0.238270116,8,0.8
2.687999964,-0.239597198,8,0.8
2.697000027,-0.241065034,8,0.8
2.70600009,-0.24255184,8,0.8
2.714999914,-0.243939526,8,0.8
2.723999977,-0.245115318,8,0.8
2.73300004,-0.245980811,8,0.8
2.742000103,-0.246456386,8,0.8
2.750999928,-0.246486388,8,0.8
2.75999999,-0.246042005,8,0.8
2.769000053,-0.245122205,8,0.8
2.778000116,-0.243756476,8,0.8
2.786999941,-0.241995711,8,0.8
2.796000004,-0.239919063,8,0.8
2.805000067,-0.237621219,8,0.8
2.813999891,-0.235212376,8,0.8
2.822999954,-0.232807884,8,0.8
2.832000017,-0.230523629,8,0.8
2.84100008,-0.228469579,8,0.8
2.849999905,-0.226742674,8,0.8
2.858999968,-0.225423537,8,0.8
2.868000031,-0.224570427,8,0.8
2.877000093,-0.224216727,8,0.8
2.885999918,-0.224366923,8,0.8
2.894999981,-0.225002424,8,0.8
2.904000044,-0.226076041,8,0.8
2.913000107,-0.227518707,8,0.8
2.921999931,-0.229241803,8,0.8
2.930999994,-0.231141621,8,0.8
2.940000057,-0.233106265,8,0.8
2.948999882,-0.235022781,8,0.8
2.957999945,-0.236779312,8,0.8
2.967000008,-0.238277396,8,0.8
2.976000071,-0.2394326,8,0.8
2.984999895,-0.240180931,8,0.8
2.993999958,-0.24048287,8,0.8
3.003000021,-0.240327098,8,0.8
3.012000084,-0.239727209,8,0.8
3.020999908,-0.238724932,8,0.8
3.029999971,-0.237384187,8,0.8
3.039000034,-0.235790921,8,0.8
3.048000097,-0.234045079,8,0.8
3.056999922,-0.232256415,8,0.8
3.065999985,-0.230537465,8,0.8
3.075000048,-0.22899847,8,0.8
3.084000111,-0.227740769,8,0.8
3.092999935,-0.226849504,8,0.8
3.101999998,-0.226389872,8,0.8
3.111000061,-0.22640498,8,0.8
3.119999886,-0.226911806,8,0.8
3.128999949,-0.227898208,8,0.8
3.138000011,-0.229329162,8,0.8
3.147000074,-0.231143324,8,0.8
3.155999899,-0.233258511,8,0.8
3.164999962,-0.235574832,8,0.8
3.174000025,-0.23798141,8,0.8
3.183000088,-0.240362466,8,0.8
3.191999912,-0.242601773,8,0.8
3.200999975,-0.244593026,8,0.8
3.210000038,-0.246240306,8,0.8
3.219000101,-0.247469147,8,0.8
3.227999926,-0.248228588,8,0.8
3.236999989,-0.248491703,8,0.8
3.246000051,-0.248262248,8,0.8
3.255000114,-0.247570398,8,0.8
3.263999939,-0.246472939,8,0.8
3.273000002,-0.245050727,8,0.8
3.282000065,-0.243400824,8,0.8
3.290999889,-0.241634746,8,0.8
3.299999952,-0.239871931,8,0.8
3.309000015,-0.238230124,8,0.8
3.318000078,-0.236819859,8,0.8
3.326999903,-0.235740474,8,0.8
3.335999966,-0.235070383,8,0.8
3.345000029,-0.234868592,8,0.8
3.354000092,-0.235164432,8,0.8
3.362999916,-0.235961431,8,0.8
3.371999979,-0.237233468,8,0.8
3.381000042,-0.238926737,8,0.8
3.390000105,-0.240963297,8,0.8
3.398999929,-0.243245053,8,0.8
3.407999992,-0.245656319,8,0.8
3.417000055,-0.248075579,8,0.8
3.426000118,-0.250376837,8,0.8
3.434999943,-0.252438994,8,0.8
3.444000006,-0.254154004,8,0.8
3.453000069,-0.255431522,8,0.8
3.461999893,-0.256205282,8,0.8
3.470999956,-0.256436968,8,0.8
3.480000019,-0.256117479,8,0.8
3.489000082,-0.25527244,8,0.8
3.497999907,-0.2539546,8,0.8
3.506999969,-0.252248322,8,0.8
3.516000032,-0.250258003,8,0.8
3.525000095,-0.248106377,8,0.8
3.53399992,-0.245930856,8,0.8
3.542999983,-0.243867446,8,0.8
3.552000046,-0.242052179,8,0.8
3.561000109,-0.240606404,8,0.8
3.569999933,-0.239635195,8,0.8
3.578999996,-0.23921863,8,0.8
3.588000059,-0.239407496,8,0.8
3.596999884,-0.240221147,8,0.8
3.605999947,-0.241642478,8,0.8
3.61500001,-0.24362451,8,0.8
3.624000072,-0.246084811,8,0.8
3.632999897,-0.248916306,8,0.8
3.64199996,-0.251986951,8,0.8
3.651000023,-0.255151966,8,0.8
3.660000086,-0.258257964,8,0.8
3.66899991,-0.261148918,8,0.8
3.677999973,-0.263685525,8,0.8
3.687000036,-0.265741628,8,0.8
3.696000099,-0.267219682,8,0.8
3.704999924,-0.268054883,8,0.8
3.713999987,-0.268216708,8,0.8
3.72300005,-0.267719012,8,0.8
3.732000113,-0.266613525,8,0.8
3.740999937,-0.264991154,8,0.8
3.75,-0.262977549,8,0.8
3.759000063,-0.260725649,8,0.8
3.767999887,-0.258409043,8,0.8
3.77699995,-0.256212207,8,0.8
3.786000013,-0.254320742,8,0.8
3.795000076,-0.252912517,8,0.8
3.803999901,-0.252144156,8,0.8
3.812999964,-0.252147293,8,0.8
3.822000027,-0.253015225,8,0.8
3.83100009,-0.254800664,8,0.8
3.839999914,-0.257511959,8,0.8
3.848999977,-0.26110751,8,0.8
3.85800004,-0.26549762,8,0.8
3.867000103,-0.270548773,8,0.8
3.875999928,-0.276091366,8,0.8
3.88499999,-0.281920518,8,0.8
3.894000053,-0.287814353,8,0.8
3.903000116,-0.293541295,8,0.8
3.911999941,-0.298872893,8,0.8
3.921000004,-0.303605594,8,0.8
3.930000067,-0.307563902,8,0.8
3.938999891,-0.310620715,8,0.8
3.947999954,-0.31270323,8,0.8
3.957000017,-0.313809156,8,0.8
3.96600008,-0.314003903,8,0.8
3.974999905,-0.313426168,8,0.8
3.983999968,-0.312285989,8,0.8
3.993000031,-0.310861227,8,0.8
4.001999855,-0.309482605,8,0.8
4.011000156,-0.308526904,8,0.8
4.019999981,-0.308402072,8,0.8
4.028999805,-0.309528314,8,0.8
4.038000107,-0.312327095,8,0.8
4.046999931,-0.317195589,8,0.8
4.056000233,-0.324494139,8,0.8
4.065000057,-0.334531721,8,0.8
4.073999882,-0.347542887,8,0.8
4.083000183,-0.363681703,8,0.8
4.092000008,-0.383001737,8,0.8
4.100999832,-0.405450497,8,0.8
4.110000134,-0.430862617,8,0.8
4.118999958,-0.458946475,8,0.8
4.127999783,-0.489295105,8,0.8
4.137000084,-0.52138564,8,0.8
4.145999908,-0.554584646,8,0.8
4.15500021,-0.588167404,8,0.8
4.164000034,-0.621336555,8,0.8
4.172999859,-0.653252767,8,0.8
4.18200016,-0.683059321,8,0.8
4.190999985,-0.709918732,8,0.8
4.199999809,-0.733052901,8,0.8
4.209000111,-0.751776894,8,0.8
4.217999935,-0.765532254,8,0.8
4.227000237,-0.77391282,8,0.8
4.236000061,-0.776686007,8,0.8
4.244999886,-0.773807097,8,0.8
4.254000187,-0.765408896,8,0.8
4.263000011,-0.751806057,8,0.8
4.271999836,-0.733464711,8,0.8
4.281000137,-0.710982352,8,0.8
4.289999962,-0.68505679,8,0.8
4.298999786,-0.656455638,8,0.8
4.308000088,-0.625979843,8,0.8
4.316999912,-0.594436478,8,0.8
4.326000214,-0.562605243,8,0.8
4.335000038,-0.531221101,8,0.8
4.343999863,-0.500946728,8,0.8
4.353000164,-0.472368137,8,0.8
4.361999989,-0.445970312,8,0.8
4.370999813,-0.422138989,8,0.8
4.380000114,-0.401154169,8,0.8
4.388999939,-0.38319235,8,0.8
4.397999763,-0.368324197,8,0.8
4.407000065,-0.356522069,8,0.8
4.415999889,-0.347669652,8,0.8
4.425000191,-0.341568014,8,0.8
4.434000015,-0.337949764,8,0.8
4.44299984,-0.336491747,8,0.8
4.452000141,-0.336828416,8,0.8
4.460999966,-0.338571147,8,0.8
4.46999979,-0.34132113,8,0.8
4.479000092,-0.344687955,8,0.8
4.487999916,-0.348304934,8,0.8
