Frequency(GHz),length of patch in mm,width of patch in mm,length of substrate in mm,width of Substrate in mm,Area of Slots(mm^2),Radius of Circular Slot(mm),S11(dB)
2,27,38,59,76,58.2656,4,-0.542107973
2.005000114,27,38,59,76,58.2656,4,-0.58083741
2.00999999,27,38,59,76,58.2656,4,-0.621691331
2.015000105,27,38,59,76,58.2656,4,-0.663751972
2.019999981,27,38,59,76,58.2656,4,-0.706048736
2.025000095,27,38,59,76,58.2656,4,-0.747589535
2.029999971,27,38,59,76,58.2656,4,-0.787383861
2.035000086,27,38,59,76,58.2656,4,-0.824466227
2.039999962,27,38,59,76,58.2656,4,-0.857935124
2.045000076,27,38,59,76,58.2656,4,-0.886978638
2.049999952,27,38,59,76,58.2656,4,-0.910903706
2.055000067,27,38,59,76,58.2656,4,-0.929162216
2.059999943,27,38,59,76,58.2656,4,-0.94137485
2.065000057,27,38,59,76,58.2656,4,-0.947345267
2.069999933,27,38,59,76,58.2656,4,-0.947067627
2.075000048,27,38,59,76,58.2656,4,-0.940727717
2.079999924,27,38,59,76,58.2656,4,-0.928693929
2.085000038,27,38,59,76,58.2656,4,-0.911503107
2.089999914,27,38,59,76,58.2656,4,-0.889841408
2.095000029,27,38,59,76,58.2656,4,-0.864514507
2.099999905,27,38,59,76,58.2656,4,-0.83642144
2.105000019,27,38,59,76,58.2656,4,-0.806519938
2.109999895,27,38,59,76,58.2656,4,-0.775802876
2.11500001,27,38,59,76,58.2656,4,-0.745265518
2.119999886,27,38,59,76,58.2656,4,-0.71587932
2.125,27,38,59,76,58.2656,4,-0.688570185
2.130000114,27,38,59,76,58.2656,4,-0.664204311
2.13499999,27,38,59,76,58.2656,4,-0.643560489
2.140000105,27,38,59,76,58.2656,4,-0.627331933
2.144999981,27,38,59,76,58.2656,4,-0.616102354
2.150000095,27,38,59,76,58.2656,4,-0.610351795
2.154999971,27,38,59,76,58.2656,4,-0.610442622
2.160000086,27,38,59,76,58.2656,4,-0.61661798
2.164999962,27,38,59,76,58.2656,4,-0.629001337
2.170000076,27,38,59,76,58.2656,4,-0.647595085
2.174999952,27,38,59,76,58.2656,4,-0.672277557
2.180000067,27,38,59,76,58.2656,4,-0.702808796
2.184999943,27,38,59,76,58.2656,4,-0.738827645
2.190000057,27,38,59,76,58.2656,4,-0.779859954
2.194999933,27,38,59,76,58.2656,4,-0.825318286
2.200000048,27,38,59,76,58.2656,4,-0.874515129
2.204999924,27,38,59,76,58.2656,4,-0.926668386
2.210000038,27,38,59,76,58.2656,4,-0.980916035
2.214999914,27,38,59,76,58.2656,4,-1.03633156
2.220000029,27,38,59,76,58.2656,4,-1.091944087
2.224999905,27,38,59,76,58.2656,4,-1.146763773
2.230000019,27,38,59,76,58.2656,4,-1.199811013
2.234999895,27,38,59,76,58.2656,4,-1.250137888
2.24000001,27,38,59,76,58.2656,4,-1.296873113
2.244999886,27,38,59,76,58.2656,4,-1.339245894
2.25,27,38,59,76,58.2656,4,-1.376621299
2.255000114,27,38,59,76,58.2656,4,-1.40853262
2.25999999,27,38,59,76,58.2656,4,-1.434703116
2.265000105,27,38,59,76,58.2656,4,-1.455059382
2.269999981,27,38,59,76,58.2656,4,-1.469749772
2.275000095,27,38,59,76,58.2656,4,-1.47913989
2.279999971,27,38,59,76,58.2656,4,-1.483810992
2.285000086,27,38,59,76,58.2656,4,-1.484539545
2.289999962,27,38,59,76,58.2656,4,-1.4822781
2.295000076,27,38,59,76,58.2656,4,-1.478133951
2.299999952,27,38,59,76,58.2656,4,-1.473333267
2.305000067,27,38,59,76,58.2656,4,-1.469197466
2.309999943,27,38,59,76,58.2656,4,-1.467113544
2.315000057,27,38,59,76,58.2656,4,-1.468506289
2.319999933,27,38,59,76,58.2656,4,-1.474819105
2.325000048,27,38,59,76,58.2656,4,-1.487495843
2.329999924,27,38,59,76,58.2656,4,-1.50796565
2.335000038,27,38,59,76,58.2656,4,-1.537634119
2.339999914,27,38,59,76,58.2656,4,-1.577882211
2.345000029,27,38,59,76,58.2656,4,-1.630063616
2.349999905,27,38,59,76,58.2656,4,-1.695506522
2.355000019,27,38,59,76,58.2656,4,-1.775525939
2.359999895,27,38,59,76,58.2656,4,-1.871428344
2.36500001,27,38,59,76,58.2656,4,-1.984527745
2.369999886,27,38,59,76,58.2656,4,-2.116159062
2.375,27,38,59,76,58.2656,4,-2.267698916
2.380000114,27,38,59,76,58.2656,4,-2.440586055
2.38499999,27,38,59,76,58.2656,4,-2.636344495
2.390000105,27,38,59,76,58.2656,4,-2.856621056
2.394999981,27,38,59,76,58.2656,4,-3.103207758
2.400000095,27,38,59,76,58.2656,4,-3.378100994
2.404999971,27,38,59,76,58.2656,4,-3.683536193
2.410000086,27,38,59,76,58.2656,4,-4.022062454
2.414999962,27,38,59,76,58.2656,4,-4.396621321
2.420000076,27,38,59,76,58.2656,4,-4.810645524
2.424999952,27,38,59,76,58.2656,4,-5.268198884
2.430000067,27,38,59,76,58.2656,4,-5.774152565
2.434999943,27,38,59,76,58.2656,4,-6.334429528
2.440000057,27,38,59,76,58.2656,4,-6.956329396
2.444999933,27,38,59,76,58.2656,4,-7.649008341
2.450000048,27,38,59,76,58.2656,4,-8.424161133
2.454999924,27,38,59,76,58.2656,4,-9.297027523
2.460000038,27,38,59,76,58.2656,4,-10.28795172
2.464999914,27,38,59,76,58.2656,4,-11.42482054
2.470000029,27,38,59,76,58.2656,4,-12.74701196
2.474999905,27,38,59,76,58.2656,4,-14.31185101
2.480000019,27,38,59,76,58.2656,4,-16.20454547
2.484999895,27,38,59,76,58.2656,4,-18.54733479
2.49000001,27,38,59,76,58.2656,4,-21.45322932
2.494999886,27,38,59,76,58.2656,4,-24.49386442
2.5,27,38,59,76,58.2656,4,-24.99878139
2.505000114,27,38,59,76,58.2656,4,-22.25637886
2.50999999,27,38,59,76,58.2656,4,-19.26940697
2.515000105,27,38,59,76,58.2656,4,-16.83922917
2.519999981,27,38,59,76,58.2656,4,-14.89140083
2.525000095,27,38,59,76,58.2656,4,-13.29629236
2.529999971,27,38,59,76,58.2656,4,-11.96036952
2.535000086,27,38,59,76,58.2656,4,-10.82067816
2.539999962,27,38,59,76,58.2656,4,-9.834209437
2.545000076,27,38,59,76,58.2656,4,-8.970690185
2.549999952,27,38,59,76,58.2656,4,-8.208141168
2.555000067,27,38,59,76,58.2656,4,-7.530153804
2.559999943,27,38,59,76,58.2656,4,-6.924163403
2.565000057,27,38,59,76,58.2656,4,-6.380339853
2.569999933,27,38,59,76,58.2656,4,-5.890835768
2.575000048,27,38,59,76,58.2656,4,-5.449277251
2.579999924,27,38,59,76,58.2656,4,-5.050399525
2.585000038,27,38,59,76,58.2656,4,-4.689795018
2.589999914,27,38,59,76,58.2656,4,-4.36371784
2.595000029,27,38,59,76,58.2656,4,-4.068943638
2.599999905,27,38,59,76,58.2656,4,-3.802665506
2.605000019,27,38,59,76,58.2656,4,-3.562409246
2.609999895,27,38,59,76,58.2656,4,-3.345969939
2.61500001,27,38,59,76,58.2656,4,-3.151360196
2.619999886,27,38,59,76,58.2656,4,-2.976772526
2.625,27,38,59,76,58.2656,4,-2.820546988
2.630000114,27,38,59,76,58.2656,4,-2.681145229
2.63499999,27,38,59,76,58.2656,4,-2.5571308
2.640000105,27,38,59,76,58.2656,4,-2.447154664
2.644999981,27,38,59,76,58.2656,4,-2.349938605
2.650000095,27,38,59,76,58.2656,4,-2.264269633
2.654999971,27,38,59,76,58.2656,4,-2.188988949
2.660000086,27,38,59,76,58.2656,4,-2.122991837
2.664999962,27,38,59,76,58.2656,4,-2.065223059
2.670000076,27,38,59,76,58.2656,4,-2.014671028
2.674999952,27,38,59,76,58.2656,4,-1.970373075
2.680000067,27,38,59,76,58.2656,4,-1.931418902
2.684999943,27,38,59,76,58.2656,4,-1.896943673
2.690000057,27,38,59,76,58.2656,4,-1.866143075
2.694999933,27,38,59,76,58.2656,4,-1.838266563
2.700000048,27,38,59,76,58.2656,4,-1.812627864
2.704999924,27,38,59,76,58.2656,4,-1.788605207
2.710000038,27,38,59,76,58.2656,4,-1.76564759
2.714999914,27,38,59,76,58.2656,4,-1.743271781
2.720000029,27,38,59,76,58.2656,4,-1.721071602
2.724999905,27,38,59,76,58.2656,4,-1.698713475
2.730000019,27,38,59,76,58.2656,4,-1.675939612
2.734999895,27,38,59,76,58.2656,4,-1.652560118
2.74000001,27,38,59,76,58.2656,4,-1.628454712
2.744999886,27,38,59,76,58.2656,4,-1.603569237
2.75,27,38,59,76,58.2656,4,-1.577906776
2.755000114,27,38,59,76,58.2656,4,-1.551521948
2.75999999,27,38,59,76,58.2656,4,-1.524515901
2.765000105,27,38,59,76,58.2656,4,-1.497027479
2.769999981,27,38,59,76,58.2656,4,-1.469226718
2.775000095,27,38,59,76,58.2656,4,-1.441301369
2.779999971,27,38,59,76,58.2656,4,-1.413459254
2.785000086,27,38,59,76,58.2656,4,-1.385911184
2.789999962,27,38,59,76,58.2656,4,-1.358870719
2.795000076,27,38,59,76,58.2656,4,-1.332544002
2.799999952,27,38,59,76,58.2656,4,-1.307130684
2.805000067,27,38,59,76,58.2656,4,-1.282809744
2.809999943,27,38,59,76,58.2656,4,-1.259746443
2.815000057,27,38,59,76,58.2656,4,-1.23807643
2.819999933,27,38,59,76,58.2656,4,-1.217920337
2.825000048,27,38,59,76,58.2656,4,-1.199365479
2.829999924,27,38,59,76,58.2656,4,-1.182475919
2.835000038,27,38,59,76,58.2656,4,-1.167286736
2.839999914,27,38,59,76,58.2656,4,-1.153807693
2.845000029,27,38,59,76,58.2656,4,-1.142024012
2.849999905,27,38,59,76,58.2656,4,-1.131890035
2.855000019,27,38,59,76,58.2656,4,-1.123344633
2.859999895,27,38,59,76,58.2656,4,-1.116298532
2.86500001,27,38,59,76,58.2656,4,-1.110647514
2.869999886,27,38,59,76,58.2656,4,-1.106268756
2.875,27,38,59,76,58.2656,4,-1.103026614
2.880000114,27,38,59,76,58.2656,4,-1.100770808
2.88499999,27,38,59,76,58.2656,4,-1.099350102
2.890000105,27,38,59,76,58.2656,4,-1.098598693
2.894999981,27,38,59,76,58.2656,4,-1.098355929
2.900000095,27,38,59,76,58.2656,4,-1.098459739
2.904999971,27,38,59,76,58.2656,4,-1.098748234
2.910000086,27,38,59,76,58.2656,4,-1.099075129
2.914999962,27,38,59,76,58.2656,4,-1.099293668
2.920000076,27,38,59,76,58.2656,4,-1.099274175
2.924999952,27,38,59,76,58.2656,4,-1.098902768
2.930000067,27,38,59,76,58.2656,4,-1.098076269
2.934999943,27,38,59,76,58.2656,4,-1.096713889
2.940000057,27,38,59,76,58.2656,4,-1.09474889
2.944999933,27,38,59,76,58.2656,4,-1.092135846
2.950000048,27,38,59,76,58.2656,4,-1.088850738
2.954999924,27,38,59,76,58.2656,4,-1.084888163
2.960000038,27,38,59,76,58.2656,4,-1.080255738
2.964999914,27,38,59,76,58.2656,4,-1.074985733
2.970000029,27,38,59,76,58.2656,4,-1.069126811
2.974999905,27,38,59,76,58.2656,4,-1.062737949
2.980000019,27,38,59,76,58.2656,4,-1.055895863
2.984999895,27,38,59,76,58.2656,4,-1.048686556
