Frequency(GHz),Substrate_Height(mm),Dielectric_Constant,Patch_Length(mm),Patch_Width(mm),Substrate_Length(mm),Substrate_Width(mm)
1.0,0.5,2.0,105.837,122.4745,108.837,125.4745
1.0,0.5,2.7143,90.9202,110.0699,93.9202,113.0699
1.0,0.5,3.4286,80.9371,100.8032,83.9371,103.8032
1.0,0.5,4.1429,73.6565,93.5414,76.6565,96.5414
1.0,0.5,4.8571,68.0444,87.6523,71.0444,90.6523
1.0,0.5,5.5714,63.5476,82.7516,66.5476,85.7516
1.0,0.5,6.2857,59.8396,78.5905,62.8396,81.5905
1.0,0.5,7.0,56.7138,75.0,59.7138,78.0
1.0,0.5,7.7143,54.0323,71.8605,57.0323,74.8605
1.0,0.5,8.4286,51.6988,69.0849,54.6988,72.0849
1.0,0.5,9.1429,49.6441,66.608,52.6441,69.608
1.0,0.5,9.8571,47.8167,64.3796,50.8167,67.3796
1.0,0.5,10.5714,46.1775,62.361,49.1775,65.361
1.0,0.5,11.2857,44.6963,60.521,47.6963,63.521
1.0,0.5,12.0,43.3493,58.8348,46.3493,61.8348
1.0,0.7368,2.0,105.7221,122.4745,110.1432,126.8955
1.0,0.7368,2.7143,90.852,110.0699,95.2731,114.491
1.0,0.7368,3.4286,80.8934,100.8032,85.3145,105.2243
1.0,0.7368,4.1429,73.6275,93.5414,78.0486,97.9625
1.0,0.7368,4.8571,68.0251,87.6523,72.4461,92.0734
1.0,0.7368,5.5714,63.5349,82.7516,67.956,87.1726
1.0,0.7368,6.2857,59.8318,78.5905,64.2528,83.0116
1.0,0.7368,7.0,56.7096,75.0,61.1307,79.4211
1.0,0.7368,7.7143,54.0308,71.8605,58.4519,76.2816
1.0,0.7368,8.4286,51.6995,69.0849,56.1205,73.506
1.0,0.7368,9.1429,49.6464,66.608,54.0675,71.029
1.0,0.7368,9.8571,47.8203,64.3796,52.2414,68.8007
1.0,0.7368,10.5714,46.1822,62.361,50.6032,66.782
1.0,0.7368,11.2857,44.7018,60.521,49.1229,64.942
1.0,0.7368,12.0,43.3555,58.8348,47.7765,63.2559
1.0,0.9737,2.0,105.6033,122.4745,111.4455,128.3166
1.0,0.9737,2.7143,90.779,110.0699,96.6211,115.912
1.0,0.9737,3.4286,80.8441,100.8032,86.6862,106.6453
1.0,0.9737,4.1429,73.5924,93.5414,79.4345,99.3835
1.0,0.9737,4.8571,67.9991,87.6523,73.8412,93.4944
1.0,0.9737,5.5714,63.5153,82.7516,69.3574,88.5937
1.0,0.9737,6.2857,59.8166,78.5905,65.6587,84.4326
1.0,0.9737,7.0,56.6977,75.0,62.5399,80.8421
1.0,0.9737,7.7143,54.0214,71.8605,59.8635,77.7026
1.0,0.9737,8.4286,51.6919,69.0849,57.534,74.927
1.0,0.9737,9.1429,49.6403,66.608,55.4824,72.4501
1.0,0.9737,9.8571,47.8152,64.3796,53.6574,70.2217
1.0,0.9737,10.5714,46.1779,62.361,52.0201,68.2031
1.0,0.9737,11.2857,44.6982,60.521,50.5403,66.3631
1.0,0.9737,12.0,43.3523,58.8348,49.1944,64.6769
1.0,1.2105,2.0,105.481,122.4745,112.7441,129.7376
1.0,1.2105,2.7143,90.7013,110.0699,97.9644,117.3331
1.0,1.2105,3.4286,80.7895,100.8032,88.0527,108.0664
1.0,1.2105,4.1429,73.5515,93.5414,80.8146,100.8046
1.0,1.2105,4.8571,67.967,87.6523,75.2302,94.9155
1.0,1.2105,5.5714,63.4891,82.7516,70.7523,90.0148
1.0,1.2105,6.2857,59.7946,78.5905,67.0578,85.8537
1.0,1.2105,7.0,56.6788,75.0,63.9419,82.2632
1.0,1.2105,7.7143,54.0047,71.8605,61.2678,79.1237
1.0,1.2105,8.4286,51.6768,69.0849,58.94,76.3481
1.0,1.2105,9.1429,49.6264,66.608,56.8895,73.8711
1.0,1.2105,9.8571,47.8022,64.3796,55.0654,71.6428
1.0,1.2105,10.5714,46.1656,62.361,53.4287,69.6241
1.0,1.2105,11.2857,44.6863,60.521,51.9494,67.7842
1.0,1.2105,12.0,43.3407,58.8348,50.6038,66.098
1.0,1.4474,2.0,105.3551,122.4745,114.0393,131.1587
1.0,1.4474,2.7143,90.6192,110.0699,99.3034,118.7541
1.0,1.4474,3.4286,80.73,100.8032,89.4142,109.4874
1.0,1.4474,4.1429,73.5051,93.5414,82.1893,102.2256
1.0,1.4474,4.8571,67.9291,87.6523,76.6133,96.3365
1.0,1.4474,5.5714,63.4568,82.7516,72.141,91.4358
1.0,1.4474,6.2857,59.7663,78.5905,68.4505,87.2747
1.0,1.4474,7.0,56.6532,75.0,65.3374,83.6842
1.0,1.4474,7.7143,53.9811,71.8605,62.6653,80.5447
1.0,1.4474,8.4286,51.6547,69.0849,60.3389,77.7691
1.0,1.4474,9.1429,49.6053,66.608,58.2895,75.2922
1.0,1.4474,9.8571,47.7818,64.3796,56.4661,73.0638
1.0,1.4474,10.5714,46.1457,62.361,54.8299,71.0452
1.0,1.4474,11.2857,44.6667,60.521,53.3509,69.2052
1.0,1.4474,12.0,43.3213,58.8348,52.0055,67.5191
1.0,1.6842,2.0,105.226,122.4745,115.3313,132.5798
1.0,1.6842,2.7143,90.533,110.0699,100.6382,120.1752
1.0,1.6842,3.4286,80.6657,100.8032,90.771,110.9085
1.0,1.6842,4.1429,73.4537,93.5414,83.5589,103.6467
1.0,1.6842,4.8571,67.8857,87.6523,77.991,97.7576
1.0,1.6842,5.5714,63.4189,82.7516,73.5241,92.8569
